"t","s","i","r","place","betap","gammap","M1","M2","M3"
9.85,2017477.05412441,298.827704685774,251.989462924702,2,3.30360092500826e-07,0.33333,42,0,49
9.85,62805582.9763375,218.09265137171,201.023216226018,3,1.0614697109618e-08,0.33333,43,18,0
9.90000000000001,22190664.5939974,3144.48974172998,6190.51626089457,1,2.02219219219219e-08,0.33333,0,11,49
9.90000000000001,2017467.05931546,301.023851400184,256.988125161944,2,3.30360092500826e-07,0.33333,20,0,24
9.90000000000001,62805575.6004618,224.480601412032,204.711141915382,3,1.0614697109618e-08,0.33333,44,23,0
9.95000000000001,22190593.8353287,3162.88760524934,6243.07706603813,1,2.02219219219219e-08,0.33333,0,40,53
9.95000000000001,2017456.95222201,305.576101053018,262.042968963695,2,3.30360092500826e-07,0.33333,33,0,43
9.95000000000001,62805568.0500953,228.555796673382,208.486313146904,3,1.0614697109618e-08,0.33333,44,43,0
10,22190522.6741467,3180.38881897664,6295.93703435852,1,2.02219219219219e-08,0.33333,0,14,24
10,2017446.67796769,311.061883728057,267.181440603442,2,3.30360092500826e-07,0.33333,64,0,37
10,62805560.3602386,232.85073678965,212.331229722399,3,1.0614697109618e-08,0.33333,56,10,0
10.05,22190451.0643155,3202.90524505558,6349.13043948903,1,2.02219219219219e-08,0.33333,0,16,44
10.05,2017436.2897978,312.404582679305,272.376911544429,2,3.30360092500826e-07,0.33333,50,0,39
10.05,62805552.5377512,236.511991979265,216.242461931256,3,1.0614697109618e-08,0.33333,26,29,0
10.1,22190378.9851571,3222.2421980829,6402.67264477786,1,2.02219219219219e-08,0.33333,0,31,20
10.1,2017425.8289182,315.433599750343,277.608774075306,2,3.30360092500826e-07,0.33333,4,0,38
10.1,62805544.564548,241.898604816153,220.229052347249,3,1.0614697109618e-08,0.33333,48,46,0
10.15,22190306.4795572,3240.93864573975,6456.53179704172,1,2.02219219219219e-08,0.33333,0,31,48
10.15,2017415.2001292,322.496520899226,282.924641927625,2,3.30360092500826e-07,0.33333,37,0,58
10.15,62805536.4639192,244.148930089193,224.279355877664,3,1.0614697109618e-08,0.33333,6,27,0
10.2,22190233.574296,3257.88769787074,6510.68800617556,1,2.02219219219219e-08,0.33333,0,23,53
10.2,2017404.39438148,326.047868165532,288.329042377294,2,3.30360092500826e-07,0.33333,13,0,33
10.2,62805528.1963132,251.932743629395,228.413148304404,3,1.0614697109618e-08,0.33333,60,5,0
10.25,22190160.2693566,3276.58935585637,6565.14128754998,1,2.02219219219219e-08,0.33333,0,28,10
10.25,2017393.45344202,330.616762714386,293.801087294141,2,3.30360092500826e-07,0.33333,7,0,59
10.25,62805519.7106504,257.225585293632,232.655969430079,3,1.0614697109618e-08,0.33333,50,26,0
10.3,22190086.5314894,3296.5021674006,6619.91634325281,1,2.02219219219219e-08,0.33333,0,51,34
10.3,2017382.3540116,335.564849594223,299.352430827564,2,3.30360092500826e-07,0.33333,52,0,28
10.3,62805511.070547,261.195646862281,236.976011264346,3,1.0614697109618e-08,0.33333,62,47,0
10.35,22190012.3401901,3317.0314021527,6675.02840770448,1,2.02219219219219e-08,0.33333,0,62,46
10.35,2017371.06324604,342.108544642895,304.999501343568,2,3.30360092500826e-07,0.33333,53,0,9
10.35,62805502.3305206,263.215669458893,241.346015107657,3,1.0614697109618e-08,0.33333,17,42,0
10.4,22189937.7248662,3334.31949439604,6730.45563937504,1,2.02219219219219e-08,0.33333,0,14,22
10.4,2017359.53255953,349.972131679648,310.766600813964,2,3.30360092500826e-07,0.33333,17,0,24
10.4,62805493.4865646,267.437656293873,245.767984204377,3,1.0614697109618e-08,0.33333,20,41,0
10.45,22189862.6988805,3353.66300458996,6786.18811488159,1,2.02219219219219e-08,0.33333,0,34,29
10.45,2017347.7611666,356.556001266689,316.654124163019,2,3.30360092500826e-07,0.33333,27,0,20
10.45,62805484.5099167,271.1759886472,250.256299826831,3,1.0614697109618e-08,0.33333,15,41,0
10.5,22189787.2502694,3372.0150061358,6842.23472446252,1,2.02219219219219e-08,0.33333,0,34,9
10.5,2017335.75688829,363.956242014099,322.658161719546,2,3.30360092500826e-07,0.33333,50,0,58
10.5,62805475.400912,275.380498837171,254.810794350767,3,1.0614697109618e-08,0.33333,50,53,0
10.55,22189711.3451491,3394.38420908943,6898.62064183691,1,2.02219219219219e-08,0.33333,0,17,31
10.55,2017323.54507278,369.010181885105,328.766037359898,2,3.30360092500826e-07,0.33333,9,0,15
10.55,62805466.1748863,278.193518926595,259.423799919589,3,1.0614697109618e-08,0.33333,54,40,0
10.6,22189634.9605716,3414.77651099802,6955.36291736954,1,2.02219219219219e-08,0.33333,0,26,37
10.6,2017311.11827956,376.871538009869,334.981474451689,2,3.30360092500826e-07,0.33333,33,0,13
10.6,62805456.8643655,280.448785990034,264.079053703403,3,1.0614697109618e-08,0.33333,46,19,0
10.65,22189558.1168587,3435.33668255886,7012.44645876319,1,2.02219219219219e-08,0.33333,0,14,35
10.65,2017298.45589781,383.150610334714,341.314783877724,2,3.30360092500826e-07,0.33333,14,0,9
10.65,62805447.450388,284.405780736449,268.786036425949,3,1.0614697109618e-08,0.33333,52,3,0
10.7,22189480.8102379,3456.06569025855,7069.87407186376,1,2.02219219219219e-08,0.33333,0,30,44
10.7,2017285.58680488,389.282962930929,347.751524209941,2,3.30360092500826e-07,0.33333,45,0,55
10.7,62805437.9000561,288.630952042667,273.561196976015,3,1.0614697109618e-08,0.33333,47,9,0
10.75,22189403.0369152,3476.96450609391,7127.64857867098,1,2.02219219219219e-08,0.33333,0,16,7
10.75,2017272.55781848,392.745193176615,354.268280369927,2,3.30360092500826e-07,0.33333,18,0,50
10.75,62805428.1624572,295.649756255935,278.429991717457,3,1.0614697109618e-08,0.33333,17,26,0
10.8,22189324.7970088,3497.68309607646,7185.76989517614,1,2.02219219219219e-08,0.33333,0,8,25
10.8,2017259.38326777,398.030137494623,360.857886763295,2,3.30360092500826e-07,0.33333,31,0,32
10.8,62805418.2132425,301.324367637074,283.404594980255,3,1.0614697109618e-08,0.33333,4,53,0
10.85,22189246.0968264,3518.01983452691,7244.23333906334,1,2.02219219219219e-08,0.33333,0,34,32
10.85,2017246.01112697,404.613797886953,367.546367170799,2,3.30360092500826e-07,0.33333,56,0,42
10.85,62805408.0850242,306.388480148374,288.468700846027,3,1.0614697109618e-08,0.33333,30,56,0
10.9,22189166.9292299,3539.37655330231,7303.04421678742,1,2.02219219219219e-08,0.33333,0,20,32
10.9,2017232.42289345,411.005420275572,374.342978301659,2,3.30360092500826e-07,0.33333,11,0,27
10.9,62805397.7966465,310.932671526255,293.612887145551,3,1.0614697109618e-08,0.33333,12,23,0
10.95,22189087.3089261,3558.39946710318,7362.19160679051,1,2.02219219219219e-08,0.33333,0,29,10
10.95,2017218.60910859,418.15973000161,381.25245343593,2,3.30360092500826e-07,0.33333,12,0,50
10.95,62805387.3253626,317.36831519055,298.848527371791,3,1.0614697109618e-08,0.33333,10,14,0
11,22189007.2541511,3578.13388330522,7421.66196561968,1,2.02219219219219e-08,0.33333,0,35,40
11,2017204.57514441,424.224039769265,388.272107849943,2,3.30360092500826e-07,0.33333,10,0,69
11,62805376.6277078,324.51714341791,304.197353889626,3,1.0614697109618e-08,0.33333,43,31,0
11.05,22188926.7584541,3597.73145705889,7481.4600888572,1,2.02219219219219e-08,0.33333,0,39,29
11.05,2017190.33249917,430.692600398304,395.396192461792,2,3.30360092500826e-07,0.33333,21,0,67
11.05,62805365.6906042,331.735695155052,309.665905762747,3,1.0614697109618e-08,0.33333,21,21,0
11.1,22188845.824357,3617.24153637673,7541.58410665231,1,2.02219219219219e-08,0.33333,0,4,63
11.1,2017175.88518542,436.513404201595,402.622702408541,2,3.30360092500826e-07,0.33333,36,0,35
11.1,62805354.4949488,340.033521793299,315.263734512875,3,1.0614697109618e-08,0.33333,51,28,0
11.15,22188764.4257355,3639.17083475388,7602.05342976633,1,2.02219219219219e-08,0.33333,0,45,23
11.15,2017161.25162074,441.877243923135,409.942427361012,2,3.30360092500826e-07,0.33333,37,0,8
11.15,62805343.0497155,346.706136371692,320.986353313192,3,1.0614697109618e-08,0.33333,37,53,0
11.2,22188682.5418802,3660.52467314105,7662.88344669766,1,2.02219219219219e-08,0.33333,0,31,44
11.2,2017146.36088718,451.969561866092,417.390842980184,2,3.30360092500826e-07,0.33333,16,0,13
11.2,62805331.4455642,349.558208798866,326.788432150258,3,1.0614697109618e-08,0.33333,46,34,0
11.25,22188600.1885539,3681.04899469957,7724.06245145834,1,2.02219219219219e-08,0.33333,0,27,9
11.25,2017131.14542364,461.37412151294,425.001746871853,2,3.30360092500826e-07,0.33333,67,0,33
11.25,62805319.7153834,354.273294875662,332.653526885645,3,1.0614697109618e-08,0.33333,47,37,0
11.3,22188517.3226113,3706.25488867755,7785.62250003928,1,2.02219219219219e-08,0.33333,0,58,23
11.3,2017115.67441329,467.306342423191,432.740536309014,2,3.30360092500826e-07,0.33333,20,0,11
11.3,62805307.8426415,358.109660340723,338.589903345482,3,1.0614697109618e-08,0.33333,24,41,0
11.35,22188433.9544863,3725.83966819096,7847.55584554072,1,2.02219219219219e-08,0.33333,0,15,14
11.35,2017099.91710538,478.581590326235,440.622596319326,2,3.30360092500826e-07,0.33333,15,0,24
11.35,62805295.8317351,362.565106805359,344.595363216603,3,1.0614697109618e-08,0.33333,45,37,0
11.4,22188350.1078204,3748.94725063706,7909.84492895293,1,2.02219219219219e-08,0.33333,0,25,47
11.4,2017083.82717426,487.273014396076,448.671103368533,2,3.30360092500826e-07,0.33333,8,0,17
11.4,62805283.6819671,366.439982877564,350.670255187249,3,1.0614697109618e-08,0.33333,13,35,0
11.45,22188265.7876499,3768.07633717453,7972.48601296668,1,2.02219219219219e-08,0.33333,0,21,20
11.45,2017067.42694195,497.21945469371,456.874895385818,2,3.30360092500826e-07,0.33333,35,0,30
11.45,62805271.3516797,373.405117294317,356.835408141695,3,1.0614697109618e-08,0.33333,19,52,0
11.5,22188181.0014499,3790.52500188893,8035.47354819027,1,2.02219219219219e-08,0.33333,0,16,34
11.5,2017050.71529347,505.971464658248,465.234533898324,2,3.30360092500826e-07,0.33333,25,0,29
11.5,62805258.8182859,378.621803555468,363.102115726791,3,1.0614697109618e-08,0.33333,30,25,0
11.55,22188095.7149979,3812.70203937291,8098.83296273068,1,2.02219219219219e-08,0.33333,0,16,16
11.55,2017033.72733969,513.811493223341,473.732459116823,2,3.30360092500826e-07,0.33333,43,0,27
11.55,62805246.0852488,385.388309980896,369.468646377074,3,1.0614697109618e-08,0.33333,16,27,0
11.6,22188009.9175529,3836.11020675611,8162.57224032545,1,2.02219219219219e-08,0.33333,0,11,25
11.6,2017016.48786365,521.077151287816,482.356277090506,2,3.30360092500826e-07,0.33333,23,0,44
11.6,62805233.1314806,391.865180412292,375.945544102265,3,1.0614697109618e-08,0.33333,41,45,0
11.65,22187923.5932225,3859.70358546892,8226.70319207909,1,2.02219219219219e-08,0.33333,0,36,43
11.65,2016998.99104144,529.271346164914,491.108904419508,2,3.30360092500826e-07,0.33333,45,0,22
11.65,62805219.9742586,397.593776202687,382.524170350169,3,1.0614697109618e-08,0.33333,50,42,0
11.7,22187836.7451508,3882.83136258285,8291.22348664276,1,2.02219219219219e-08,0.33333,0,41,10
11.7,2016981.20065997,538.712172085844,500.008459967057,2,3.30360092500826e-07,0.33333,20,0,22
11.7,62805206.6328682,402.914454558719,389.194882404528,3,1.0614697109618e-08,0.33333,25,19,0
11.75,22187749.3894389,3904.98939419855,8356.12116694838,1,2.02219219219219e-08,0.33333,0,52,13
11.75,2016963.08740964,548.664272575799,509.069609807222,2,3.30360092500826e-07,0.33333,25,0,53
11.75,62805193.1000712,409.080834488207,395.96129941114,3,1.0614697109618e-08,0.33333,36,38,0
11.8,22187661.5344245,3927.37553234834,8421.39004313772,1,2.02219219219219e-08,0.33333,0,17,50
11.8,2016944.64501114,558.480781324544,518.2954995583,2,3.30360092500826e-07,0.33333,14,0,25
11.8,62805179.3566597,415.552519947629,402.833025509108,3,1.0614697109618e-08,0.33333,49,47,0
11.85,22187573.1761055,3949.89080151521,8487.03309295356,1,2.02219219219219e-08,0.33333,0,27,36
11.85,2016925.86211569,569.117365237978,527.691811093109,2,3.30360092500826e-07,0.33333,38,0,53
11.85,62805165.4066172,421.477519046987,409.8080689336,3,1.0614697109618e-08,0.33333,26,42,0
11.9,22187484.3087731,3972.78666482454,8553.054562049,1,2.02219219219219e-08,0.33333,0,35,11
11.9,2016906.76143464,577.562669926585,537.247187459752,2,3.30360092500826e-07,0.33333,37,0,52
11.9,62805151.2222307,429.61968813098,416.90028626439,3,1.0614697109618e-08,0.33333,62,4,0
11.95,22187394.8974605,3998.42210677533,8619.48043270933,1,2.02219219219219e-08,0.33333,0,38,28
11.95,2016887.40067782,584.737851578328,546.932762624333,2,3.30360092500826e-07,0.33333,13,0,12
11.95,62805136.7842827,436.688635945693,424.119286478296,3,1.0614697109618e-08,0.33333,5,9,0
12,22187304.9665118,4019.14086432652,8686.29262389301,1,2.02219219219219e-08,0.33333,0,15,3
12,2016867.73877004,595.663432722674,556.769089261596,2,3.30360092500826e-07,0.33333,60,0,52
12,62805122.0844341,445.338531858865,431.469239151104,3,1.0614697109618e-08,0.33333,9,10,0
12.05,22187214.514167,4044.94338520451,8753.49244780977,1,2.02219219219219e-08,0.33333,0,17,11
12.05,2016847.80131974,601.276611917556,566.743360371779,2,3.30360092500826e-07,0.33333,31,0,11
12.05,62805107.0854675,454.637984443465,438.968753196619,3,1.0614697109618e-08,0.33333,41,15,0
12.1,22187123.4856202,4070.54375334951,8821.12062648046,1,2.02219219219219e-08,0.33333,0,30,20
12.1,2016827.61102059,610.866044711982,576.844226718931,2,3.30360092500826e-07,0.33333,10,0,41
12.1,62805091.8325877,460.564391286757,446.595226214785,3,1.0614697109618e-08,0.33333,37,59,0
12.15,22187031.907903,4093.93501469729,8889.15708235067,1,2.02219219219219e-08,0.33333,0,46,61
12.15,2016807.05859514,623.03633427326,587.126362613666,2,3.30360092500826e-07,0.33333,51,0,47
12.15,62805076.3813502,466.539974614012,454.320880354405,3,1.0614697109618e-08,0.33333,6,57,0
12.2,22186939.8307226,4115.1043865255,8957.56489092164,1,2.02219219219219e-08,0.33333,0,11,11
12.2,2016786.12519349,633.74689442366,597.599204116438,2,3.30360092500826e-07,0.33333,37,0,57
12.2,62805060.6622268,476.649498339005,462.180480020217,3,1.0614697109618e-08,0.33333,19,22,0
12.25,22186847.2304634,4140.60793473259,9026.36160189951,1,2.02219219219219e-08,0.33333,0,4,16
12.25,2016764.88749887,641.309400707033,608.224392448923,2,3.30360092500826e-07,0.33333,21,0,26
12.25,62805044.6183881,486.021376909262,470.202440157045,3,1.0614697109618e-08,0.33333,51,35,0
12.3,22186754.0467084,4167.16118477446,9095.59210679449,1,2.02219219219219e-08,0.33333,0,10,44
12.3,2016743.35161146,651.670800098938,618.998880470215,2,3.30360092500826e-07,0.33333,50,0,6
12.3,62805028.3190405,491.971007165401,478.352157475679,3,1.0614697109618e-08,0.33333,52,39,0
12.35,22186660.2682112,4193.6670221088,9165.26476671952,1,2.02219219219219e-08,0.33333,0,29,44
12.35,2016721.46707046,662.256302465749,629.94791909501,2,3.30360092500826e-07,0.33333,23,0,70
12.35,62805011.8172036,498.171879389998,486.603122153592,3,1.0614697109618e-08,0.33333,37,16,0
12.4,22186565.9280741,4217.26693226278,9235.35499364759,1,2.02219219219219e-08,0.33333,0,20,33
12.4,2016699.261532,670.952082856039,641.057677173089,2,3.30360092500826e-07,0.33333,36,0,10
12.4,62804995.0214739,509.619694987832,495.001036303661,3,1.0614697109618e-08,0.33333,54,37,0
12.45,22186471.02931,4243.51013549848,9305.86055454111,1,2.02219219219219e-08,0.33333,0,45,41
12.45,2016676.71474042,682.768257235795,652.338294374188,2,3.30360092500826e-07,0.33333,41,0,21
12.45,62804977.932302,515.764228457005,503.545674656948,3,1.0614697109618e-08,0.33333,31,45,0
12.5,22186375.5692102,4267.34732271096,9376.78346712693,1,2.02219219219219e-08,0.33333,0,37,36
12.5,2016653.75706525,695.63961221794,663.824614554673,2,3.30360092500826e-07,0.33333,8,0,22
12.5,62804960.6081134,523.726267259614,512.207824532416,3,1.0614697109618e-08,0.33333,42,28,0
12.55,22186279.5783114,4290.87063947512,9448.10104915564,1,2.02219219219219e-08,0.33333,0,47,37
12.55,2016630.36145189,709.079659034822,675.530181098286,2,3.30360092500826e-07,0.33333,44,0,13
12.55,62804943.0146328,531.922948668955,521.004623631917,3,1.0614697109618e-08,0.33333,51,20,0
12.6,22186183.0395206,4316.23447414931,9519.82600530971,1,2.02219219219219e-08,0.33333,0,13,10
12.6,2016606.53561072,721.484537490443,687.451143816666,2,3.30360092500826e-07,0.33333,44,0,15
12.6,62804925.1531916,539.803607051554,529.935406538822,3,1.0614697109618e-08,0.33333,48,4,0
12.65,22186085.8979534,4344.65292832035,9591.99911827162,1,2.02219219219219e-08,0.33333,0,7,35
12.65,2016582.33693661,731.475562399768,699.558793015599,2,3.30360092500826e-07,0.33333,37,0,40
12.65,62804907.031898,547.514188064338,538.99611907866,3,1.0614697109618e-08,0.33333,17,7,0
12.7,22185988.1495149,4370.37704863668,9664.62343642957,1,2.02219219219219e-08,0.33333,0,39,24
12.7,2016557.82056164,740.575180444379,711.825549936819,2,3.30360092500826e-07,0.33333,56,0,19
12.7,62804888.5860798,559.287027533244,548.219097799993,3,1.0614697109618e-08,0.33333,13,4,0
12.75,22185889.8261714,4395.94861306549,9737.67521558466,1,2.02219219219219e-08,0.33333,0,6,26
12.75,2016532.97289498,751.390176369848,724.258220679851,2,3.30360092500826e-07,0.33333,7,0,23
12.75,62804869.765507,569.997240080434,557.629458012537,3,1.0614697109618e-08,0.33333,45,29,0
12.8,22185790.9201248,4422.36962012242,9811.16025504481,1,2.02219219219219e-08,0.33333,0,11,19
12.8,2016507.73130985,764.25183456364,736.888147612596,2,3.30360092500826e-07,0.33333,43,0,50
12.8,62804850.6276843,578.316073508168,567.198447378117,3,1.0614697109618e-08,0.33333,6,11,0
12.85,22185691.4207018,4448.89280730719,9885.08649090448,1,2.02219219219219e-08,0.33333,0,9,44
12.85,2016482.12170013,773.497210305422,749.70238159355,2,3.30360092500826e-07,0.33333,26,0,12
12.85,62804831.1457311,590.65696771572,576.939506317484,3,1.0614697109618e-08,0.33333,53,37,0
12.9,22185591.3211166,4475.9199126782,9959.45897071578,1,2.02219219219219e-08,0.33333,0,29,11
12.9,2016456.13575164,786.880450516177,762.705089866503,2,3.30360092500826e-07,0.33333,47,0,26
12.9,62804811.3210469,598.869222923318,586.851935358627,3,1.0614697109618e-08,0.33333,31,26,0
12.95,22185490.6072318,4503.70456367764,10034.2882045416,1,2.02219219219219e-08,0.33333,0,23,23
12.95,2016429.72242348,799.177048751399,775.921819792164,2,3.30360092500826e-07,0.33333,45,0,11
12.95,62804791.2086071,607.925351438213,596.908246624997,3,1.0614697109618e-08,0.33333,33,39,0
13,22185389.2721274,4531.34853255102,10109.5793400522,1,2.02219219219219e-08,0.33333,0,3,35
13,2016402.87636269,812.889670987737,789.355258350087,2,3.30360092500826e-07,0.33333,26,0,32
13,62804770.8068627,616.226127655373,607.109214802846,3,1.0614697109618e-08,0.33333,53,8,0
13.0500000000001,22185287.3105489,4559.60316340768,10185.3362876914,1,2.02219219219219e-08,0.33333,0,31,5
13.0500000000001,2016375.61450157,824.159849151892,802.996941302541,2,3.30360092500826e-07,0.33333,6,0,27
13.0500000000001,62804750.089249,626.884833643055,617.468122505396,3,1.0614697109618e-08,0.33333,6,21,0
13.1000000000001,22185184.7503454,4584.76129262173,10261.5383620181,1,2.02219219219219e-08,0.33333,0,21,21
13.1000000000001,2016347.91924867,838.946363413002,816.855679944316,2,3.30360092500826e-07,0.33333,51,0,21
13.1000000000001,62804729.0142201,637.672241992298,628.00574306157,3,1.0614697109618e-08,0.33333,50,35,0
13.1500000000001,22185081.5780288,4614.22638037367,10338.195590795,1,2.02219219219219e-08,0.33333,0,10,13
13.1500000000001,2016319.75709372,852.215946164409,830.948252140933,2,3.30360092500826e-07,0.33333,10,0,60
13.1500000000001,62804707.6168348,646.220823320726,638.70454707796,3,1.0614697109618e-08,0.33333,26,45,0
13.2000000000001,22184977.7691986,4641.55469112679,10415.3261102806,1,2.02219219219219e-08,0.33333,0,30,20
13.2000000000001,2016291.14885931,865.75818503754,845.264247675168,2,3.30360092500826e-07,0.33333,16,0,51
13.2000000000001,62804685.8944139,657.181916964634,649.565874249614,3,1.0614697109618e-08,0.33333,39,42,0
13.2500000000001,22184873.3505817,4668.63934966037,10492.9100686051,1,2.02219219219219e-08,0.33333,0,13,42
13.2500000000001,2016262.06950029,880.535582436143,859.816209302614,2,3.30360092500826e-07,0.33333,12,0,50
13.2500000000001,62804663.8136327,667.722185019805,660.606387385314,3,1.0614697109618e-08,0.33333,13,19,0
13.3000000000001,22184768.3428381,4694.12504028261,10570.9321216051,1,2.02219219219219e-08,0.33333,0,22,47
13.3000000000001,2016232.52360559,893.79583567022,874.601850769849,2,3.30360092500826e-07,0.33333,13,0,47
13.3000000000001,62804641.3199233,681.968910931576,671.853370943162,3,1.0614697109618e-08,0.33333,40,22,0
13.3500000000001,22184662.7544153,4720.45958589745,10649.3859988042,1,2.02219219219219e-08,0.33333,0,12,41
13.3500000000001,2016202.521121,907.983965955844,889.61620506567,2,3.30360092500826e-07,0.33333,37,0,19
13.3500000000001,62804618.3708253,695.043324345948,683.328055522294,3,1.0614697109618e-08,0.33333,48,6,0
13.4000000000001,22184556.5471235,4749.35279431356,10728.3000822124,1,2.02219219219219e-08,0.33333,0,6,10
13.4000000000001,2016172.06104731,921.300462253718,904.859782460797,2,3.30360092500826e-07,0.33333,49,0,30
13.4000000000001,62804595.004067,707.026561131509,695.011577023777,3,1.0614697109618e-08,0.33333,14,30,0
13.4500000000001,22184449.6819544,4779.16468307402,10807.70336253,1,2.02219219219219e-08,0.33333,0,24,5
13.4500000000001,2016141.15844368,934.587791457211,920.32505688682,2,3.30360092500826e-07,0.33333,14,0,28
13.4500000000001,62804571.242918,718.706986418338,706.892300747213,3,1.0614697109618e-08,0.33333,15,30,0
13.5000000000001,22184342.1730859,4806.79160181186,10887.5853122952,1,2.02219219219219e-08,0.33333,0,35,15
13.5000000000001,2016109.76407895,950.870536127418,936.036676950494,2,3.30360092500826e-07,0.33333,35,0,30
13.5000000000001,62804547.0958808,730.180348742746,718.965975564889,3,1.0614697109618e-08,0.33333,50,47,0
13.5500000000001,22184234.0236079,4836.33274955349,10967.9436425391,1,2.02219219219219e-08,0.33333,0,10,19
13.5500000000001,2016077.81924884,967.678009205139,952.02403398326,2,3.30360092500826e-07,0.33333,22,0,36
13.5500000000001,62804522.5967306,739.829760600757,731.215713961171,3,1.0614697109618e-08,0.33333,44,10,0
13.6000000000001,22184125.2090098,4866.1444176858,11048.7965724838,1,2.02219219219219e-08,0.33333,0,33,60
13.6000000000001,2016045.35658951,981.993895163514,968.270807349247,2,3.30360092500826e-07,0.33333,28,0,32
13.6000000000001,62804497.7288435,752.313533524365,743.649828111523,3,1.0614697109618e-08,0.33333,17,48,0
13.6500000000001,22184015.7720957,4891.86559997553,11130.1123043122,1,2.02219219219219e-08,0.33333,0,40,38
13.6500000000001,2016012.3643566,999.524047929068,984.782887491423,2,3.30360092500826e-07,0.33333,26,0,9
13.6500000000001,62804472.419577,766.31798810358,756.304640084366,3,1.0614697109618e-08,0.33333,26,11,0
13.7000000000001,22183905.7447738,4918.83809053371,11211.8671356852,1,2.02219219219219e-08,0.33333,0,32,41
13.7000000000001,2015978.78822305,1017.09559105109,1001.5874779248,2,3.30360092500826e-07,0.33333,34,0,9
13.7000000000001,62804446.6538509,779.700663958234,769.187690255324,3,1.0614697109618e-08,0.33333,37,47,0
13.7500000000001,22183795.0977815,4947.16940194536,11294.0828166017,1,2.02219219219219e-08,0.33333,0,26,6
13.7500000000001,2015944.60590074,1035.96964271995,1018.69574856251,2,3.30360092500826e-07,0.33333,47,0,16
13.7500000000001,62804420.4751901,791.089798825763,782.277216264244,3,1.0614697109618e-08,0.33333,44,51,0
13.8000000000001,22183683.7797745,4978.72272020067,11376.797505331,1,2.02219219219219e-08,0.33333,0,15,21
13.8000000000001,2015909.80884477,1054.05045556482,1036.1119916938,2,3.30360092500826e-07,0.33333,21,0,17
13.8000000000001,62804393.9464115,800.703984335851,795.541809278972,3,1.0614697109618e-08,0.33333,26,6,0
13.8500000000001,22183571.7795243,5008.05092292372,11460.0195528204,1,2.02219219219219e-08,0.33333,0,37,34
13.8500000000001,2015874.43125564,1070.87093124496,1053.81910514451,2,3.30360092500826e-07,0.33333,18,0,20
13.8500000000001,62804367.0282957,814.462829783916,809.001079666143,3,1.0614697109618e-08,0.33333,25,29,0
13.9000000000001,22183459.1420375,5035.59243833309,11543.7155242033,1,2.02219219219219e-08,0.33333,0,23,17
13.9000000000001,2015838.45186393,1090.24167786636,1071.82775023186,2,3.30360092500826e-07,0.33333,7,0,34
13.9000000000001,62804339.6527603,828.15037546802,822.68906934345,3,1.0614697109618e-08,0.33333,35,17,0
13.9500000000001,22183345.8687488,5064.7968905819,11627.8843606241,1,2.02219219219219e-08,0.33333,0,28,35
13.9500000000001,2015801.84701834,1108.4744921645,1090.14978152539,2,3.30360092500826e-07,0.33333,20,0,12
13.9500000000001,62804311.8180128,842.017517413938,836.606674965094,3,1.0614697109618e-08,0.33333,42,47,0
14.0000000000001,22183231.9408016,5094.01911734642,11712.5400810395,1,2.02219219219219e-08,0.33333,0,12,2
14.0000000000001,2015764.5938552,1129.23077634084,1108.7966604856,2,3.30360092500826e-07,0.33333,30,0,30
14.0000000000001,62804283.5515354,854.05051433175,850.740155375473,3,1.0614697109618e-08,0.33333,44,42,0
14.0500000000001,22183117.3218505,5126.4684493898,11797.7097001576,1,2.02219219219219e-08,0.33333,0,14,24
14.0500000000001,2015726.68553126,1147.86393019481,1127.77183056996,2,3.30360092500826e-07,0.33333,30,0,35
14.0500000000001,62804254.8906769,865.680691988564,865.070836260344,3,1.0614697109618e-08,0.33333,17,11,0
14.1000000000001,22183002.0022384,5156.54735986861,11883.4004017402,1,2.02219219219219e-08,0.33333,0,13,26
14.1000000000001,2015688.18080991,1165.09458691988,1147.04589519376,2,3.30360092500826e-07,0.33333,56,0,42
14.1000000000001,62804225.7676952,881.791920482757,879.632589494283,3,1.0614697109618e-08,0.33333,33,7,0
14.1500000000001,22182885.9836102,5188.85541807366,11969.6109717035,1,2.02219219219219e-08,0.33333,0,20,18
14.1500000000001,2015649.13015975,1180.69752427437,1166.59360800243,2,3.30360092500826e-07,0.33333,17,0,41
14.1500000000001,62804196.1057156,898.02263612435,894.46385346943,3,1.0614697109618e-08,0.33333,7,24,0
14.2000000000001,22182769.2748245,5218.14033992048,12056.3348355785,1,2.02219219219219e-08,0.33333,0,37,7
14.2000000000001,2015609.50288734,1199.78805502831,1186.43034965611,2,3.30360092500826e-07,0.33333,50,0,9
14.2000000000001,62804165.8982088,914.526103097924,909.56789325947,3,1.0614697109618e-08,0.33333,15,43,0
14.2500000000001,22182651.8882753,5249.34893310144,12143.5627916568,1,2.02219219219219e-08,0.33333,0,24,48
14.2500000000001,2015569.20621542,1220.96249529769,1206.60258130948,2,3.30360092500826e-07,0.33333,46,0,30
14.2500000000001,62804135.1946651,927.77757640805,924.919963681578,3,1.0614697109618e-08,0.33333,34,7,0
14.3000000000001,22182533.8076696,5280.08537543601,12231.3069549963,1,2.02219219219219e-08,0.33333,0,28,24
14.3000000000001,2015528.25475769,1239.16352700082,1227.10300733432,2,3.30360092500826e-07,0.33333,39,0,26
14.3000000000001,62804103.9795344,945.234830532662,940.527840255161,3,1.0614697109618e-08,0.33333,33,35,0
