time, S, I, R
8.95,7395.94,1555.63,1058.42
9,7340.99,1584.42,1084.59
9.05,7285.45,1613.31,1111.24
9.1,7229.34,1642.3,1138.37
9.15,7172.67,1671.35,1165.98
9.2,7115.46,1700.47,1194.08
9.25,7057.73,1729.61,1222.66
9.3,6999.49,1758.77,1251.73
9.35,6940.78,1787.93,1281.29
9.4,6881.61,1817.06,1311.33
9.45,6822,1846.15,1341.86
9.5,6761.97,1875.16,1372.87
9.55,6701.55,1904.09,1404.36
9.6,6640.76,1932.91,1436.33
9.65,6579.61,1961.6,1468.79
9.7,6518.15,1990.13,1501.72
9.75,6456.39,2018.49,1535.12
9.8,6394.35,2046.65,1569
9.85,6332.07,2074.58,1603.34
9.9,6269.57,2102.28,1638.15
9.95,6206.87,2129.72,1673.42
10,6144,2156.86,1709.14
10.05,6080.98,2183.71,1745.31
10.1,6017.85,2210.22,1781.93
10.15,5954.64,2236.38,1818.98
10.2,5891.35,2262.18,1856.47
10.25,5828.04,2287.58,1894.39
10.3,5764.71,2312.57,1932.72
10.35,5701.4,2337.14,1971.47
10.4,5638.13,2361.25,2010.62
10.45,5574.93,2384.9,2050.17
10.5,5511.83,2408.06,2090.11
10.55,5448.85,2430.71,2130.44
10.6,5386.01,2452.85,2171.13
10.65,5323.35,2474.45,2212.2
10.7,5260.88,2495.5,2253.61
10.75,5198.64,2515.99,2295.38
10.8,5136.64,2535.89,2337.47
10.85,5074.9,2555.2,2379.9
10.9,5013.45,2573.9,2422.64
10.95,4952.32,2591.99,2465.69
11,4891.51,2609.45,2509.04
11.05,4831.06,2626.27,2552.67
11.1,4770.99,2642.44,2596.58
11.15,4711.3,2657.95,2640.75
11.2,4652.03,2672.8,2685.17
11.25,4593.19,2686.98,2729.84
11.3,4534.79,2700.48,2774.73
11.35,4476.85,2713.3,2819.85
11.4,4419.4,2725.43,2865.17
11.45,4362.43,2736.88,2910.69
11.5,4305.98,2747.63,2956.39
11.55,4250.04,2757.69,3002.27
11.6,4194.64,2767.05,3048.31
11.65,4139.78,2775.72,3094.5
11.7,4085.48,2783.69,3140.83
11.75,4031.74,2790.97,3187.29
11.8,3978.58,2797.56,3233.86
11.85,3926.01,2803.46,3280.53
11.9,3874.03,2808.67,3327.3
11.95,3822.64,2813.2,3374.15
12,3771.87,2817.06,3421.07
12.05,3721.7,2820.25,3468.05
12.1,3672.15,2822.77,3515.08
12.15,3623.23,2824.63,3562.14
12.2,3574.93,2825.84,3609.23
12.25,3527.26,2826.41,3656.33
12.3,3480.22,2826.34,3703.43
12.35,3433.82,2825.65,3750.54
12.4,3388.04,2824.34,3797.62
12.45,3342.91,2822.41,3844.68
12.5,3298.41,2819.89,3891.69
12.55,3254.55,2816.78,3938.67
12.6,3211.32,2813.1,3985.58
12.65,3168.73,2808.84,4032.43
12.7,3126.77,2804.03,4079.21
12.75,3085.44,2798.67,4125.9
12.8,3044.73,2792.78,4172.49
12.85,3004.65,2786.36,4218.99
12.9,2965.2,2779.44,4265.37
12.95,2926.36,2772.01,4311.63
13,2888.13,2764.1,4357.76
13.05,2850.52,2755.72,4403.76
13.1,2813.51,2746.88,4449.62
13.15,2777.1,2737.58,4495.32
13.2,2741.28,2727.85,4540.87
13.25,2706.05,2717.7,4586.25
13.3,2671.41,2707.13,4631.45
13.35,2637.35,2696.17,4676.48
13.4,2603.86,2684.82,4721.32
13.45,2570.93,2673.09,4765.97
13.5,2538.57,2661.01,4810.42
13.55,2506.76,2648.57,4854.67
13.6,2475.49,2635.8,4898.71
13.65,2444.77,2622.7,4942.53
13.7,2414.58,2609.29,4986.13
13.75,2384.91,2595.59,5029.5
13.8,2355.77,2581.59,5072.64
13.85,2327.14,2567.31,5115.55
13.9,2299.01,2552.77,5158.22
13.95,2271.38,2537.98,5200.64
14,2244.24,2522.94,5242.82
14.05,2217.59,2507.67,5284.74
14.1,2191.41,2492.19,5326.4
14.15,2165.7,2476.49,5367.81
14.2,2140.46,2460.59,5408.95
14.25,2115.66,2444.51,5449.83
14.3,2091.32,2428.25,5490.43
14.35,2067.42,2411.81,5530.77
14.4,2043.95,2395.23,5570.83
14.45,2020.91,2378.49,5610.61
14.5,1998.28,2361.61,5650.11
14.55,1976.07,2344.6,5689.32
14.6,1954.27,2327.47,5728.26
14.65,1932.86,2310.23,5766.91
14.7,1911.84,2292.89,5805.26
14.75,1891.21,2275.45,5843.33
14.8,1870.96,2257.93,5881.11
14.85,1851.08,2240.32,5918.6
14.9,1831.56,2222.65,5955.79
14.95,1812.4,2204.91,5992.68
15,1793.59,2187.12,6029.28
15.05,1775.13,2169.28,6065.59
15.1,1757.01,2151.4,6101.59
15.15,1739.22,2133.48,6137.3
15.2,1721.76,2115.53,6172.71
15.25,1704.62,2097.57,6207.82
15.3,1687.79,2079.59,6242.63
15.35,1671.27,2061.59,6277.14
15.4,1655.05,2043.6,6311.35
15.45,1639.14,2025.61,6345.26
15.5,1623.51,2007.63,6378.87
15.55,1608.17,1989.65,6412.18
15.6,1593.11,1971.7,6445.19
15.65,1578.33,1953.77,6477.9
15.7,1563.81,1935.87,6510.31
15.75,1549.57,1918.01,6542.43
15.8,1535.58,1900.18,6574.24
15.85,1521.84,1882.39,6605.77
15.9,1508.36,1864.65,6636.99
15.95,1495.12,1846.96,6667.92
16,1482.13,1829.32,6698.56
16.05,1469.36,1811.74,6728.9
16.1,1456.83,1794.22,6758.95
16.15,1444.53,1776.76,6788.7
16.2,1432.45,1759.38,6818.17
16.25,1420.59,1742.06,6847.35
16.3,1408.94,1724.82,6876.24
16.35,1397.5,1707.66,6904.84
16.4,1386.27,1690.57,6933.16
16.45,1375.23,1673.57,6961.2
16.5,1364.4,1656.65,6988.95
16.55,1353.76,1639.82,7016.42
16.6,1343.31,1623.08,7043.61
16.65,1333.05,1606.43,7070.52
16.7,1322.96,1589.88,7097.16
16.75,1313.06,1573.42,7123.52
16.8,1303.34,1557.06,7149.6
16.85,1293.78,1540.8,7175.42
16.9,1284.4,1524.64,7200.96
16.95,1275.18,1508.58,7226.24
17,1266.12,1492.63,7251.25
17.05,1257.22,1476.78,7275.99
17.1,1248.48,1461.04,7300.48
17.15,1239.89,1445.41,7324.7
17.2,1231.46,1429.89,7348.66
17.25,1223.17,1414.48,7372.36
17.3,1215.02,1399.18,7395.81
17.35,1207.01,1383.99,7419
17.4,1199.15,1368.91,7441.94
17.45,1191.42,1353.95,7464.63
17.5,1183.82,1339.11,7487.07
17.55,1176.36,1324.38,7509.27
17.6,1169.02,1309.76,7531.22
17.65,1161.81,1295.26,7552.92
17.7,1154.72,1280.88,7574.39
17.75,1147.76,1266.62,7595.62
17.8,1140.91,1252.47,7616.61
17.85,1134.18,1238.45,7637.37
17.9,1127.57,1224.54,7657.9
17.95,1121.07,1210.75,7678.19
18,1114.67,1197.07,7698.25
18.05,1108.39,1183.52,7718.09
18.1,1102.21,1170.09,7737.7
18.15,1096.14,1156.77,7757.09
18.2,1090.16,1143.57,7776.26
18.25,1084.29,1130.49,7795.21
18.3,1078.52,1117.53,7813.95
18.35,1072.84,1104.69,7832.47
18.4,1067.26,1091.97,7850.77
18.45,1061.77,1079.37,7868.86
18.5,1056.37,1066.88,7886.75
18.55,1051.06,1054.51,7904.43
18.6,1045.84,1042.26,7921.9
18.65,1040.71,1030.12,7939.17
18.7,1035.66,1018.11,7956.24
18.75,1030.69,1006.2,7973.11
18.8,1025.8,994.419,7989.78
18.85,1021,982.748,8006.25
18.9,1016.27,971.193,8022.54
18.95,1011.62,959.752,8038.63
19,1007.05,948.425,8054.53
19.05,1002.55,937.211,8070.24
19.1,998.119,926.111,8085.77
19.15,993.764,915.122,8101.11
19.2,989.479,904.246,8116.27
19.25,985.264,893.481,8131.26
19.3,981.116,882.826,8146.06
19.35,977.035,872.282,8160.68
19.4,973.019,861.847,8175.13
19.45,969.068,851.52,8189.41
19.5,965.18,841.302,8203.52
19.55,961.354,831.191,8217.46
19.6,957.588,821.187,8231.22
19.65,953.883,811.289,8244.83
19.7,950.236,801.496,8258.27
19.75,946.647,791.808,8271.55
19.8,943.115,782.223,8284.66
19.85,939.638,772.742,8297.62
19.9,936.217,763.363,8310.42
19.95,932.849,754.086,8323.07
20,929.534,744.91,8335.56
20.05,926.27,735.833,8347.9
20.1,923.058,726.857,8360.08
20.15,919.896,717.979,8372.12
20.2,916.784,709.199,8384.02
20.25,913.719,700.516,8395.77
20.3,910.703,691.929,8407.37
20.35,907.733,683.438,8418.83
20.4,904.809,675.041,8430.15
20.45,901.93,666.739,8441.33
20.5,899.096,658.529,8452.38
20.55,896.305,650.412,8463.28
20.6,893.557,642.387,8474.06
20.65,890.852,634.452,8484.7
20.7,888.187,626.608,8495.2
20.75,885.564,618.853,8505.58
20.8,882.981,611.186,8515.83
20.85,880.437,603.607,8525.96
20.9,877.932,596.114,8535.95
20.95,875.465,588.708,8545.83
21,873.036,581.387,8555.58
21.05,870.643,574.15,8565.21
21.1,868.287,566.997,8574.72
21.15,865.966,559.927,8584.11
21.2,863.68,552.939,8593.38
21.25,861.429,546.033,8602.54
21.3,859.211,539.207,8611.58
21.35,857.027,532.46,8620.51
21.4,854.876,525.793,8629.33
21.45,852.757,519.204,8638.04
21.5,850.67,512.692,8646.64
21.55,848.614,506.257,8655.13
21.6,846.588,499.898,8663.51
21.65,844.593,493.614,8671.79
21.7,842.627,487.405,8679.97
21.75,840.691,481.269,8688.04
21.8,838.784,475.206,8696.01
21.85,836.904,469.215,8703.88
21.9,835.053,463.296,8711.65
21.95,833.229,457.448,8719.32
22,831.432,451.669,8726.9
22.05,829.661,445.959,8734.38
22.1,827.917,440.318,8741.77
22.15,826.198,434.745,8749.06
22.2,824.504,429.239,8756.26
22.25,822.836,423.799,8763.37
22.3,821.191,418.425,8770.38
22.35,819.571,413.116,8777.31
22.4,817.975,407.871,8784.15
22.45,816.402,402.69,8790.91
22.5,814.851,397.571,8797.58
22.55,813.324,392.515,8804.16
22.6,811.818,387.52,8810.66
22.65,810.335,382.586,8817.08
22.7,808.873,377.712,8823.41
22.75,807.432,372.898,8829.67
22.8,806.013,368.143,8835.84
22.85,804.613,363.445,8841.94
22.9,803.234,358.806,8847.96
22.95,801.875,354.223,8853.9
23,800.536,349.697,8859.77
23.05,799.216,345.226,8865.56
23.1,797.915,340.81,8871.28
23.15,796.632,336.449,8876.92
23.2,795.368,332.141,8882.49
23.25,794.123,327.887,8887.99
23.3,792.895,323.685,8893.42
23.35,791.684,319.536,8898.78
23.4,790.491,315.437,8904.07
23.45,789.315,311.39,8909.29
23.5,788.156,307.392,8914.45
23.55,787.014,303.445,8919.54
23.6,785.887,299.546,8924.57
23.65,784.777,295.696,8929.53
23.7,783.683,291.894,8934.42
23.75,782.604,288.14,8939.26
23.8,781.54,284.432,8944.03
23.85,780.492,280.77,8948.74
23.9,779.459,277.154,8953.39
23.95,778.44,273.584,8957.98
24,777.435,270.058,8962.51
24.05,776.445,266.576,8966.98
24.1,775.469,263.138,8971.39
24.15,774.507,259.744,8975.75
24.2,773.558,256.391,8980.05
24.25,772.622,253.081,8984.3
24.3,771.7,249.813,8988.49
24.35,770.791,246.586,8992.62
24.4,769.894,243.399,8996.71
24.45,769.011,240.252,9000.74
24.5,768.139,237.146,9004.72
24.55,767.28,234.078,9008.64
24.6,766.433,231.049,9012.52
24.65,765.598,228.059,9016.34
24.7,764.774,225.106,9020.12
24.75,763.962,222.19,9023.85
24.8,763.161,219.312,9027.53
24.85,762.372,216.47,9031.16
24.9,761.594,213.664,9034.74
24.95,760.826,210.894,9038.28
25,760.069,208.158,9041.77
25.05,759.323,205.458,9045.22
25.1,758.587,202.792,9048.62
25.15,757.861,200.16,9051.98
25.2,757.146,197.561,9055.29
25.25,756.44,194.995,9058.56
25.3,755.745,192.462,9061.79
25.35,755.059,189.962,9064.98
25.4,754.382,187.493,9068.13
25.45,753.715,185.055,9071.23
25.5,753.057,182.649,9074.29
25.55,752.408,180.274,9077.32
25.6,751.768,177.929,9080.3
25.65,751.137,175.613,9083.25
25.7,750.515,173.328,9086.16
25.75,749.901,171.072,9089.03
25.8,749.296,168.844,9091.86
25.85,748.7,166.645,9094.66
25.9,748.111,164.475,9097.41
25.95,747.531,162.332,9100.14
26,746.958,160.216,9102.83
26.05,746.394,158.128,9105.48
26.1,745.837,156.067,9108.1
26.15,745.288,154.032,9110.68
26.2,744.746,152.023,9113.23
26.25,744.212,150.04,9115.75
26.3,743.685,148.082,9118.23
26.35,743.166,146.15,9120.68
26.4,742.654,144.242,9123.1
26.45,742.148,142.359,9125.49
26.5,741.65,140.5,9127.85
26.55,741.158,138.666,9130.18
26.6,740.673,136.855,9132.47
26.65,740.195,135.067,9134.74
26.7,739.724,133.302,9136.97
26.75,739.258,131.56,9139.18
26.8,738.8,129.841,9141.36
26.85,738.347,128.143,9143.51
26.9,737.901,126.468,9145.63
26.95,737.461,124.814,9147.73
27,737.026,123.182,9149.79
27.05,736.598,121.571,9151.83
27.1,736.176,119.98,9153.84
27.15,735.759,118.41,9155.83
27.2,735.348,116.861,9157.79
27.25,734.943,115.331,9159.73
27.3,734.543,113.822,9161.64
27.35,734.148,112.331,9163.52
27.4,733.759,110.861,9165.38
27.45,733.375,109.409,9167.22
27.5,732.997,107.976,9169.03
27.55,732.624,106.562,9170.81
27.6,732.255,105.165,9172.58
27.65,731.892,103.788,9174.32
27.7,731.534,102.427,9176.04
27.75,731.18,101.085,9177.73
27.8,730.831,99.7601,9179.41
27.85,730.487,98.4523,9181.06
27.9,730.148,97.1615,9182.69
27.95,729.813,95.8875,9184.3
28,729.483,94.63,9185.89
28.05,729.158,93.3889,9187.45
28.1,728.836,92.1639,9189
28.15,728.519,90.9549,9190.53
28.2,728.207,89.7616,9192.03
28.25,727.899,88.5838,9193.52
28.3,727.594,87.4213,9194.98
28.35,727.294,86.274,9196.43
28.4,726.998,85.1416,9197.86
28.45,726.706,84.0239,9199.27
28.5,726.418,82.9208,9200.66
28.55,726.134,81.8321,9202.03
28.6,725.854,80.7575,9203.39
28.65,725.577,79.697,9204.73
28.7,725.304,78.6503,9206.05
28.75,725.035,77.6172,9207.35
28.8,724.77,76.5976,9208.63
28.85,724.508,75.5913,9209.9
28.9,724.249,74.5982,9211.15
28.95,723.994,73.618,9212.39
29,723.743,72.6505,9213.61
