time, S, I, R, M0, M1
6.3,9418.33,374.801,210.269,14,12
6.35,9401.34,385.455,216.604,13,13
6.4,9383.9,396.38,223.119,11,11
6.45,9366,407.581,229.818,12,12
6.5,9347.63,418.96,236.706,20,18
6.55,9328.79,430.723,243.786,10,10
6.6,9309.46,442.777,251.065,12,12
6.65,9289.63,455.125,258.547,20,20
6.7,9269.29,467.722,266.237,16,15
6.75,9248.44,480.572,274.139,14,12
6.8,9227.06,493.829,282.258,15,15
6.85,9205.15,507.4,290.601,15,15
6.9,9182.69,521.289,299.173,20,20
6.95,9159.67,535.45,307.979,16,15
7,9136.09,549.986,317.023,18,18
7.05,9111.93,564.853,326.313,10,10
7.1,9087.19,580.055,335.853,16,16
7.15,9061.86,595.595,345.65,12,12
7.2,9035.92,611.375,355.707,9,7
7.25,9009.37,627.599,366.032,14,14
7.3,8982.2,644.172,376.629,11,11
7.35,8954.4,661.096,387.506,15,15
7.4,8925.96,678.374,398.667,8,8
7.45,8896.87,695.958,410.12,10,9
7.5,8867.13,713.899,421.868,12,11
7.55,8836.73,732.25,433.918,14,14
7.6,8805.66,750.912,446.277,17,16
7.65,8773.91,769.937,458.951,19,18
7.7,8741.48,789.324,471.944,10,9
7.75,8708.36,809.075,485.263,16,15
7.8,8674.55,829.139,498.914,17,15
7.85,8640.03,849.615,512.903,10,9
7.9,8604.81,870.506,527.237,14,14
7.95,8568.87,891.758,541.922,15,15
8,8532.21,913.373,556.964,18,18
8.05,8494.84,935.296,572.369,9,8
8.1,8456.73,957.626,588.143,16,16
8.15,8417.9,980.309,604.291,16,16
8.2,8378.34,1003.34,620.821,12,12
8.25,8338.04,1026.72,637.738,12,12
8.3,8297.01,1050.24,655.045,19,15
8.35,8255.25,1074.3,672.749,10,10
8.4,8212.76,1098.58,690.856,14,12
8.45,8169.54,1123.19,709.37,12,10
8.5,8125.59,1148.21,728.298,11,11
8.55,8080.91,1173.55,747.645,11,11
8.6,8035.5,1199.13,767.417,14,13
8.65,7989.37,1225.01,787.617,11,10
8.7,7942.52,1251.12,808.251,12,10
8.75,7894.97,1277.61,829.323,12,12
8.8,7846.7,1304.36,850.839,18,18
8.85,7797.74,1331.36,872.803,11,11
8.9,7748.08,1358.55,895.218,11,10
8.95,7697.74,1385.97,918.089,19,18
9,7646.73,1413.6,941.418,18,17
9.05,7595.06,1441.48,965.21,9,9
9.1,7542.73,1469.5,989.468,17,16
9.15,7489.76,1497.74,1014.19,15,15
9.2,7436.17,1526.09,1039.39,11,10
9.25,7381.96,1554.58,1065.06,13,12
9.3,7327.15,1583.24,1091.21,15,15
9.35,7271.76,1611.95,1117.84,10,9
9.4,7215.8,1640.71,1144.94,14,12
9.45,7159.29,1669.53,1172.53,11,9
