time, S, I, R, M0, M1
31.85,718.645,36.1457,9238.41,6,6
31.9,718.522,35.6698,9239.01,3,3
31.95,718.402,35.1008,9239.6,6,4
32,718.283,34.6386,9240.18,3,3
32.05,718.165,34.1825,9240.75,7,7
32.1,718.049,33.7324,9241.32,2,2
32.15,717.935,33.2882,9241.88,4,4
32.2,717.822,32.8498,9242.43,4,4
32.25,717.711,32.4172,9242.97,3,3
32.3,717.601,31.9903,9243.51,7,7
32.35,717.493,31.5689,9244.04,5,5
32.4,717.386,31.1035,9244.56,6,5
32.45,717.281,30.6938,9245.08,2,2
32.5,717.177,30.2895,9245.58,5,5
32.55,717.075,29.8905,9246.08,5,5
32.6,716.973,29.4967,9246.58,6,6
32.65,716.874,29.1081,9247.07,4,4
32.7,716.775,28.7247,9247.55,11,11
32.75,716.678,28.3462,9248.03,3,3
32.8,716.582,27.9728,9248.5,5,5
32.85,716.488,27.6042,9248.96,1,1
32.9,716.394,27.2405,9249.42,1,1
32.95,716.302,26.8816,9249.87,5,5
33,716.211,26.5274,9250.31,4,4
33.05,716.122,26.1778,9250.75,5,5
33.1,716.033,25.6839,9251.18,5,2
33.15,715.947,25.3454,9251.61,1,1
33.2,715.861,24.9617,9252.03,4,3
33.25,715.777,24.5831,9252.44,2,1
33.3,715.694,24.2591,9252.85,3,3
33.35,715.612,23.9394,9253.25,2,2
33.4,715.531,23.5742,9253.64,5,4
33.45,715.452,23.2138,9254.03,3,2
33.5,715.373,22.9078,9254.42,1,1
33.55,715.296,22.6059,9254.8,4,4
33.6,715.22,22.2582,9255.17,3,2
33.65,715.145,21.9648,9255.54,2,2
33.7,715.071,21.6753,9255.9,5,5
33.75,714.998,21.3896,9256.26,7,7
33.8,714.925,21.1076,9256.62,4,4
33.85,714.854,20.8293,9256.97,3,3
33.9,714.784,20.5547,9257.31,3,3
33.95,714.715,20.2341,9257.65,2,1
34,714.646,19.9673,9257.99,4,4
34.05,714.579,19.704,9258.32,3,3
34.1,714.513,19.3946,9258.64,10,9
34.15,714.447,19.1389,9258.96,1,1
34.2,714.383,18.8865,9259.28,3,3
34.25,714.319,18.5381,9259.59,2,0
34.3,714.257,18.2937,9259.9,1,1
34.35,714.195,18.0028,9260.2,3,2
34.4,714.135,17.7157,9260.5,6,5
34.45,714.075,17.4325,9260.79,3,2
34.5,714.016,17.2026,9261.08,1,1
34.55,713.958,16.9757,9261.37,4,4
34.6,713.901,16.7518,9261.65,3,3
34.65,713.845,16.5309,9261.92,3,3
34.7,713.789,16.3129,9262.2,2,2
34.75,713.734,16.0978,9262.47,5,5
34.8,713.68,15.8855,9262.73,2,2
34.85,713.626,15.6759,9263,5,5
34.9,713.574,15.4692,9263.26,3,3
34.95,713.522,15.2652,9263.51,3,3
35,713.47,15.0638,9263.77,3,3
35.05,713.419,14.8651,9264.02,5,5
35.1,713.369,14.6691,9264.26,3,3
35.15,713.32,14.4756,9264.5,3,3
35.2,713.271,14.2846,9264.74,2,2
35.25,713.223,14.0962,9264.98,5,5
35.3,713.176,13.9103,9265.21,6,6
35.35,713.129,13.7268,9265.44,3,3
35.4,713.083,13.5457,9265.67,7,7
35.45,713.037,13.367,9265.9,1,1
35.5,712.992,13.0913,9266.12,6,4
35.55,712.948,12.9186,9266.33,4,4
35.6,712.905,12.7482,9266.55,2,2
35.65,712.862,12.58,9266.76,1,1
35.7,712.82,12.4141,9266.97,1,1
35.75,712.778,12.2503,9267.17,1,1
35.8,712.737,12.039,9267.37,5,4
35.85,712.696,11.8802,9267.57,2,2
35.9,712.656,11.7234,9267.77,3,3
35.95,712.617,11.5191,9267.96,2,1
36,712.578,11.3671,9268.15,3,3
36.05,712.54,11.2171,9268.34,3,3
36.1,712.502,11.0691,9268.53,5,5
36.15,712.465,10.9231,9268.71,4,4
36.2,712.429,10.7789,9268.89,1,1
36.25,712.392,10.6367,9269.07,2,2
36.3,712.357,10.4964,9269.25,4,4
36.35,712.321,10.3579,9269.42,5,5
36.4,712.286,10.2212,9269.59,4,4
36.45,712.252,10.0863,9269.76,3,3
36.5,712.218,9.95322,9269.93,2,2
36.55,712.185,9.82188,9270.09,8,8
36.6,712.152,9.69227,9270.26,4,4
36.65,712.119,9.56437,9270.42,4,4
36.7,712.087,9.43816,9270.57,4,4
36.75,712.055,9.31361,9270.73,4,4
36.8,712.024,9.1907,9270.89,3,3
36.85,711.993,9.06942,9271.04,3,3
36.9,711.963,8.90006,9271.19,3,2
36.95,711.933,8.78261,9271.33,3,3
37,711.903,8.6667,9271.48,3,3
37.05,711.874,8.50266,9271.62,5,4
37.1,711.846,8.39044,9271.76,3,3
37.15,711.818,8.27971,9271.9,3,3
37.2,711.79,8.12077,9272.04,3,2
37.25,711.763,8.01359,9272.17,1,1
37.3,711.736,7.90783,9272.31,1,1
37.35,711.709,7.80347,9272.44,3,3
37.4,711.683,7.70047,9272.57,3,3
37.45,711.657,7.54917,9272.69,7,6
37.5,711.632,7.44954,9272.82,5,5
37.55,711.607,7.35121,9272.94,2,2
37.6,711.582,7.25419,9273.06,3,3
37.65,711.558,7.15844,9273.18,9,9
37.7,711.534,7.06396,9273.3,2,2
37.75,711.51,6.97072,9273.42,4,4
37.8,711.487,6.87872,9273.53,1,1
37.85,711.463,6.78792,9273.65,4,4
37.9,711.441,6.69833,9273.76,4,4
37.95,711.418,6.60992,9273.87,1,1
38,711.396,6.52267,9273.98,3,3
38.05,711.374,6.43657,9274.09,1,1
38.1,711.353,6.35161,9274.2,6,6
38.15,711.331,6.26777,9274.3,2,2
38.2,711.31,6.18504,9274.4,2,2
38.25,711.289,6.05373,9274.51,8,7
38.3,711.269,5.97382,9274.61,3,3
38.35,711.249,5.89496,9274.71,3,3
38.4,711.229,5.81715,9274.8,2,2
38.45,711.21,5.74036,9274.9,3,3
38.5,711.191,5.66459,9274.99,3,3
38.55,711.172,5.58981,9275.09,2,2
38.6,711.153,5.51602,9275.18,2,2
38.65,711.134,5.39354,9275.27,5,4
38.7,711.116,5.32234,9275.36,2,2
38.75,711.098,5.25208,9275.45,3,3
38.8,711.081,5.18275,9275.54,2,2
38.85,711.063,5.11433,9275.62,5,5
38.9,711.046,5.04681,9275.71,1,1
38.95,711.029,4.98019,9275.79,3,3
39,711.013,4.91445,9275.87,2,2
39.05,710.996,4.84957,9275.95,1,1
39.1,710.98,4.78555,9276.03,2,2
39.15,710.964,4.72237,9276.11,3,3
39.2,710.948,4.66003,9276.19,1,1
39.25,710.932,4.59851,9276.27,3,3
39.3,710.917,4.5378,9276.35,0,0
39.35,710.902,4.47789,9276.42,1,1
39.4,710.887,4.41878,9276.49,3,3
39.45,710.872,4.31077,9276.57,3,2
39.5,710.857,4.25386,9276.64,2,2
39.55,710.843,4.1977,9276.71,4,4
39.6,710.829,4.14228,9276.78,3,3
39.65,710.815,4.0876,9276.85,3,3
39.7,710.801,4.03363,9276.91,4,4
39.75,710.788,3.98038,9276.98,2,2
39.8,710.775,3.92783,9277.05,0,0
39.85,710.761,3.87597,9277.11,2,2
39.9,710.748,3.8248,9277.18,5,5
39.95,710.736,3.7743,9277.24,4,4
40,710.723,3.6748,9277.3,3,2
40.05,710.711,3.62628,9277.36,5,5
40.1,710.699,3.57841,9277.42,1,1
40.15,710.687,3.53116,9277.48,3,3
40.2,710.675,3.48454,9277.54,4,4
40.25,710.663,3.38887,9277.6,2,1
40.3,710.652,3.34412,9277.65,2,2
40.35,710.641,3.29997,9277.71,1,1
40.4,710.629,3.2564,9277.76,1,1
40.45,710.619,3.21341,9277.82,2,2
40.5,710.608,3.17098,9277.87,1,1
40.55,710.597,3.12911,9277.92,3,3
40.6,710.587,3.0878,9277.98,3,3
40.65,710.576,3.04703,9278.03,4,4
40.7,710.566,3.0068,9278.08,3,3
40.75,710.556,2.9671,9278.13,4,4
40.8,710.546,2.92792,9278.18,3,3
40.85,710.536,2.83959,9278.22,2,1
40.9,710.527,2.8021,9278.27,3,3
40.95,710.517,2.7651,9278.32,1,1
41,710.508,2.72859,9278.36,1,1
41.05,710.499,2.69257,9278.41,4,4
41.1,710.49,2.60735,9278.45,4,3
41.15,710.481,2.57292,9278.5,2,2
41.2,710.473,2.53895,9278.54,1,1
41.25,710.464,2.45575,9278.58,6,5
41.3,710.456,2.42333,9278.62,5,5
41.35,710.448,2.39133,9278.66,2,2
41.4,710.44,2.35976,9278.7,3,3
41.45,710.432,2.3286,9278.74,4,4
41.5,710.424,2.29785,9278.78,1,1
41.55,710.416,2.26751,9278.82,3,3
41.6,710.409,2.23757,9278.85,3,3
41.65,710.401,2.20802,9278.89,1,1
41.7,710.394,2.17887,9278.93,0,0
41.75,710.387,2.1501,9278.96,5,5
41.8,710.379,2.12171,9279,1,1
41.85,710.372,2.09369,9279.03,1,1
41.9,710.365,2.06605,9279.07,2,2
41.95,710.358,2.03877,9279.1,4,4
42,710.352,2.01185,9279.14,0,0
42.05,710.345,1.98528,9279.17,1,1
42.1,710.338,1.95907,9279.2,3,3
42.15,710.332,1.9332,9279.24,2,2
42.2,710.325,1.90767,9279.27,3,3
42.25,710.319,1.88248,9279.3,4,4
42.3,710.312,1.85762,9279.33,3,3
42.35,710.306,1.83309,9279.36,1,1
42.4,710.3,1.80889,9279.39,2,2
42.45,710.294,1.785,9279.42,3,3
42.5,710.288,1.76143,9279.45,3,3
42.55,710.282,1.6885,9279.48,4,3
42.6,710.277,1.66621,9279.51,3,3
42.65,710.271,1.64421,9279.53,0,0
42.7,710.265,1.62249,9279.56,2,2
42.75,710.26,1.60107,9279.59,1,1
42.8,710.255,1.57993,9279.62,1,1
42.85,710.249,1.55907,9279.64,0,0
42.9,710.244,1.53848,9279.67,0,0
42.95,710.239,1.51816,9279.69,5,5
43,710.234,1.49812,9279.72,2,2
43.05,710.229,1.47833,9279.74,1,1
43.1,710.224,1.40914,9279.77,5,4
43.15,710.219,1.39054,9279.79,2,2
43.2,710.215,1.37217,9279.81,1,1
43.25,710.21,1.30438,9279.84,3,2
43.3,710.206,1.28716,9279.86,0,0
43.35,710.201,1.27016,9279.88,2,2
43.4,710.197,1.25339,9279.9,4,4
43.45,710.193,1.23684,9279.92,1,1
43.5,710.189,1.22051,9279.94,0,0
43.55,710.185,1.15472,9279.96,1,0
43.6,710.181,1.13947,9279.98,2,2
43.65,710.177,1.12443,9280,2,2
43.7,710.173,1.10958,9280.02,4,4
43.75,710.17,1.09492,9280.04,3,3
43.8,710.166,1.08047,9280.05,4,4
43.85,710.162,1.0662,9280.07,6,6
43.9,710.159,1.05212,9280.09,3,3
43.95,710.155,1.03823,9280.11,1,1
44,710.152,1.02452,9280.12,3,3
44.05,710.148,1.01099,9280.14,2,2
44.1,710.145,0.997636,9280.16,2,2
44.15,710.142,0.984461,9280.17,2,2
44.2,710.138,0.971461,9280.19,0,0
44.25,710.135,0.908964,9280.21,3,2
44.3,710.132,0.89696,9280.22,2,2
44.35,710.129,0.885116,9280.24,0,0
44.4,710.126,0.873427,9280.25,3,3
44.45,710.123,0.861893,9280.26,6,6
44.5,710.12,0.850512,9280.28,2,2
44.55,710.117,0.83928,9280.29,1,1
44.6,710.115,0.828197,9280.31,4,4
44.65,710.112,0.81726,9280.32,5,5
44.7,710.109,0.756799,9280.33,2,1
44.75,710.107,0.746805,9280.35,2,2
44.8,710.104,0.736943,9280.36,2,2
44.85,710.102,0.727211,9280.37,2,2
44.9,710.099,0.717608,9280.38,2,2
44.95,710.097,0.708132,9280.4,3,3
45,710.094,0.69878,9280.41,0,0
45.05,710.092,0.689553,9280.42,1,1
45.1,710.09,0.680447,9280.43,1,1
45.15,710.088,0.671461,9280.44,3,3
45.2,710.085,0.662594,9280.45,2,2
45.25,710.083,0.653844,9280.46,0,0
45.3,710.081,0.645209,9280.47,0,0
45.35,710.079,0.58702,9280.48,2,1
45.4,710.077,0.579268,9280.49,3,3
45.45,710.075,0.521949,9280.5,3,2
45.5,710.073,0.515056,9280.51,2,2
45.55,710.071,0.508255,9280.52,2,2
45.6,710.07,0.501543,9280.53,3,3
45.65,710.068,0.445251,9280.54,3,2
45.7,710.067,0.439371,9280.54,4,4
45.75,710.065,0.433569,9280.55,3,3
45.8,710.064,0.427843,9280.56,1,1
45.85,710.062,0.422193,9280.57,1,1
45.9,710.061,0.416618,9280.57,2,2
45.95,710.06,0.411116,9280.58,4,4
46,710.058,0.405687,9280.59,2,2
46.05,710.057,0.400329,9280.59,0,0
46.1,710.055,0.395043,9280.6,2,2
46.15,710.054,0.389826,9280.61,1,1
46.2,710.053,0.384678,9280.61,4,4
46.25,710.052,0.379598,9280.62,2,2
46.3,710.05,0.374585,9280.63,0,0
46.35,710.049,0.369638,9280.63,1,1
46.4,710.048,0.364757,9280.64,1,1
46.45,710.047,0.35994,9280.64,1,1
46.5,710.045,0.355187,9280.65,2,2
46.55,710.044,0.350496,9280.66,4,4
46.6,710.043,0.345868,9280.66,2,2
46.65,710.042,0.291631,9280.67,4,3
46.7,710.041,0.28778,9280.67,2,2
46.75,710.04,0.283979,9280.68,1,1
46.8,710.039,0.280229,9280.68,1,1
46.85,710.038,0.276529,9280.69,1,1
46.9,710.037,0.272877,9280.69,2,2
46.95,710.036,0.269273,9280.69,2,2
47,710.035,0.265717,9280.7,1,1
47.05,710.034,0.262208,9280.7,3,3
47.1,710.034,0.258746,9280.71,3,3
47.15,710.033,0.255329,9280.71,5,5
47.2,710.032,0.251957,9280.72,3,3
47.25,710.031,0.248629,9280.72,1,1
47.3,710.03,0.245346,9280.72,2,2
47.35,710.029,0.242106,9280.73,1,1
47.4,710.029,0.238909,9280.73,4,4
47.45,710.028,0.235754,9280.74,3,3
47.5,710.027,0.23264,9280.74,1,1
47.55,710.026,0.229568,9280.74,0,0
47.6,710.025,0.226537,9280.75,4,4
47.65,710.025,0.223545,9280.75,2,2
47.7,710.024,0.220593,9280.76,1,1
47.75,710.023,0.21768,9280.76,1,1
47.8,710.022,0.214805,9280.76,1,1
47.85,710.022,0.162299,9280.77,2,1
47.9,710.021,0.160156,9280.77,1,1
47.95,710.021,0.158041,9280.77,1,1
48,710.02,0.106285,9280.77,3,2
48.05,710.02,0.104881,9280.78,2,2
48.1,710.02,0.103496,9280.78,1,1
48.15,710.019,0.102129,9280.78,1,1
48.2,710.019,0.100781,9280.78,0,0
48.25,710.019,0.0994497,9280.78,2,2
48.3,710.018,0.0981364,9280.78,0,0
48.35,710.018,0.0968404,9280.79,1,1
48.4,710.018,0.0955615,9280.79,1,1
48.45,710.017,0.0446304,9280.79,7,6
48.5,710.017,0.044041,9280.79,2,2
48.55,710.017,0.0434594,9280.79,2,2
48.6,710.017,0.0428855,9280.79,0,0
48.65,710.017,-0.00734994,9280.79,4,3
48.7,710.017,-0.00725288,9280.79,2,2
48.75,710.017,-0.0071571,9280.79,1,1
48.8,710.017,-0.00706258,9280.79,2,2
48.85,710.017,-0.00696931,9280.79,2,2
48.9,710.017,-0.00687728,9280.79,1,1
48.95,710.017,-0.00678646,9280.79,0,0
49,710.017,-0.00669683,9280.79,2,2
49.05,710.017,-0.0066084,9280.79,0,0
49.1,710.017,-0.00652113,9280.79,1,1
49.15,710.017,-0.00643501,9280.79,1,1
49.2,710.017,-0.00635003,9280.79,1,1
49.25,710.017,-0.00626617,9280.79,1,1
49.3,710.017,-0.00618342,9280.79,0,0
49.35,710.017,-0.00610176,9280.79,2,2
49.4,710.017,-0.00602118,9280.79,0,0
49.45,710.017,-0.00594167,9280.79,0,0
49.5,710.017,-0.0058632,9280.79,0,0
49.55,710.017,-0.0554549,9280.79,1,0
49.6,710.017,-0.0547226,9280.79,0,0
49.65,710.018,-0.0539999,9280.79,0,0
49.7,710.018,-0.0532868,9280.79,3,3
49.75,710.018,-0.0525831,9280.78,1,1
49.8,710.018,-0.0518887,9280.78,0,0
49.85,710.018,-0.0512034,9280.78,3,3
49.9,710.019,-0.0505272,9280.78,3,3
49.95,710.019,-0.04986,9280.78,1,1
50,710.019,-0.0492015,9280.78,0,0
50.05,710.019,-0.0485518,9280.78,0,0
50.1,710.019,-0.0479106,9280.78,3,3
50.15,710.019,-0.0472779,9280.78,1,1
50.2,710.019,-0.0466536,9280.78,3,3
50.25,710.02,-0.0460374,9280.78,1,1
50.3,710.02,-0.0454295,9280.78,0,0
50.35,710.02,-0.0448295,9280.77,1,1
50.4,710.02,-0.0442375,9280.77,1,1
50.45,710.02,-0.0436533,9280.77,1,1
50.5,710.02,-0.0430768,9280.77,2,2
50.55,710.021,-0.042508,9280.77,1,1
50.6,710.021,-0.0419466,9280.77,1,1
50.65,710.021,-0.0413927,9280.77,2,2
50.7,710.021,-0.040846,9280.77,0,0
50.75,710.021,-0.0403066,9280.77,2,2
50.8,710.021,-0.0397744,9280.77,1,1
50.85,710.021,-0.0392491,9280.77,3,3
50.9,710.022,-0.0387308,9280.77,3,3
50.95,710.022,-0.0382193,9280.77,1,1
51,710.022,-0.0873837,9280.77,2,1
51.05,710.022,-0.0862297,9280.76,3,3
51.1,710.022,-0.085091,9280.76,2,2
51.15,710.023,-0.0839673,9280.76,1,1
51.2,710.023,-0.0828584,9280.76,2,2
51.25,710.023,-0.0817642,9280.76,1,1
51.3,710.024,-0.0806844,9280.76,0,0
51.35,710.024,-0.0796189,9280.76,4,4
51.4,710.024,-0.0785675,9280.75,4,4
51.45,710.024,-0.0775299,9280.75,0,0
51.5,710.025,-0.0765061,9280.75,1,1
51.55,710.025,-0.0754957,9280.75,3,3
51.6,710.025,-0.0744987,9280.75,2,2
51.65,710.025,-0.0735149,9280.75,1,1
51.7,710.026,-0.0725441,9280.75,3,3
51.75,710.026,-0.0715861,9280.75,0,0
51.8,710.026,-0.0706407,9280.74,0,0
51.85,710.026,-0.0697078,9280.74,0,0
51.9,710.027,-0.0687873,9280.74,2,2
51.95,710.027,-0.117548,9280.74,2,1
52,710.027,-0.115996,9280.74,3,3
52.05,710.028,-0.114464,9280.74,1,1
52.1,710.028,-0.112952,9280.73,2,2
52.15,710.028,-0.111461,9280.73,0,0
52.2,710.029,-0.109989,9280.73,2,2
52.25,710.029,-0.108536,9280.73,2,2
52.3,710.03,-0.107103,9280.73,3,3
52.35,710.03,-0.105688,9280.73,1,1
52.4,710.03,-0.104293,9280.72,1,1
52.45,710.031,-0.152585,9280.72,1,0
52.5,710.031,-0.15057,9280.72,1,1
52.55,710.032,-0.148581,9280.72,1,1
52.6,710.032,-0.146619,9280.71,1,1
52.65,710.033,-0.144683,9280.71,0,0
52.7,710.033,-0.142772,9280.71,2,2
52.75,710.034,-0.140887,9280.71,2,2
52.8,710.034,-0.139026,9280.7,3,3
52.85,710.035,-0.13719,9280.7,1,1
52.9,710.035,-0.185048,9280.7,5,4
52.95,710.036,-0.182604,9280.7,2,2
53,710.036,-0.180192,9280.69,1,1
53.05,710.037,-0.177813,9280.69,1,1
53.1,710.038,-0.175465,9280.69,0,0
53.15,710.038,-0.173148,9280.69,2,2
53.2,710.039,-0.170861,9280.68,2,2
53.25,710.039,-0.168605,9280.68,2,2
53.3,710.04,-0.166378,9280.68,2,2
53.35,710.04,-0.164181,9280.67,3,3
53.4,710.041,-0.162013,9280.67,2,2
53.45,710.042,-0.159873,9280.67,2,2
53.5,710.042,-0.157762,9280.67,1,1
53.55,710.043,-0.155679,9280.66,1,1
53.6,710.043,-0.153623,9280.66,0,0
53.65,710.044,-0.151594,9280.66,2,2
53.7,710.044,-0.149592,9280.66,1,1
53.75,710.045,-0.147617,9280.65,1,1
53.8,710.045,-0.145667,9280.65,1,1
53.85,710.046,-0.143744,9280.65,1,1
53.9,710.046,-0.141845,9280.65,1,1
53.95,710.047,-0.139972,9280.64,3,3
54,710.047,-0.138124,9280.64,0,0
54.05,710.047,-0.1363,9280.64,1,1
54.1,710.048,-0.1345,9280.64,2,2
54.15,710.048,-0.132724,9280.63,2,2
54.2,710.049,-0.130971,9280.63,0,0
54.25,710.049,-0.129241,9280.63,0,0
54.3,710.05,-0.127535,9280.63,0,0
54.35,710.05,-0.12585,9280.63,3,3
54.4,710.051,-0.124188,9280.62,2,2
54.45,710.051,-0.122548,9280.62,1,1
54.5,710.051,-0.12093,9280.62,2,2
54.55,710.052,-0.119333,9280.62,0,0
54.6,710.052,-0.117757,9280.62,1,1
54.65,710.053,-0.116202,9280.61,2,2
54.7,710.053,-0.164337,9280.61,1,0
54.75,710.054,-0.162166,9280.61,1,1
54.8,710.054,-0.160025,9280.61,0,0
54.85,710.055,-0.157912,9280.6,1,1
54.9,710.055,-0.155826,9280.6,0,0
54.95,710.056,-0.153769,9280.6,1,1
55,710.056,-0.151738,9280.6,1,1
55.05,710.057,-0.149734,9280.59,2,2
55.1,710.057,-0.147757,9280.59,1,1
55.15,710.058,-0.145805,9280.59,1,1
55.2,710.058,-0.14388,9280.59,3,3
55.25,710.059,-0.14198,9280.58,0,0
55.3,710.059,-0.140105,9280.58,1,1
55.35,710.06,-0.138255,9280.58,2,2
55.4,710.06,-0.136429,9280.58,2,2
55.45,710.061,-0.134627,9280.57,2,2
55.5,710.061,-0.13285,9280.57,1,1
55.55,710.062,-0.131095,9280.57,0,0
55.6,710.062,-0.129364,9280.57,4,4
55.65,710.062,-0.127656,9280.57,3,3
55.7,710.063,-0.12597,9280.56,2,2
55.75,710.063,-0.124306,9280.56,0,0
55.8,710.064,-0.122665,9280.56,0,0
55.85,710.064,-0.121045,9280.56,1,1
55.9,710.064,-0.119446,9280.55,0,0
55.95,710.065,-0.117869,9280.55,0,0
56,710.065,-0.116312,9280.55,0,0
56.05,710.066,-0.114777,9280.55,1,1
56.1,710.066,-0.113261,9280.55,0,0
56.15,710.066,-0.111765,9280.55,2,2
56.2,710.067,-0.110289,9280.54,1,1
56.25,710.067,-0.108833,9280.54,1,1
56.3,710.068,-0.157065,9280.54,4,3
56.35,710.068,-0.15499,9280.54,0,0
56.4,710.069,-0.152944,9280.53,0,0
56.45,710.069,-0.150924,9280.53,0,0
56.5,710.07,-0.148931,9280.53,3,3
56.55,710.07,-0.146964,9280.53,2,2
56.6,710.071,-0.194693,9280.52,3,2
56.65,710.071,-0.192122,9280.52,2,2
56.7,710.072,-0.189584,9280.52,1,1
56.75,710.073,-0.187081,9280.51,0,0
56.8,710.073,-0.234279,9280.51,1,0
56.85,710.074,-0.231186,9280.51,0,0
56.9,710.075,-0.228133,9280.5,1,1
56.95,710.076,-0.22512,9280.5,0,0
57,710.076,-0.222147,9280.5,1,1
57.05,710.077,-0.219214,9280.49,1,1
57.1,710.078,-0.216319,9280.49,0,0
57.15,710.079,-0.213462,9280.48,2,2
57.2,710.079,-0.210643,9280.48,0,0
57.25,710.08,-0.207861,9280.48,0,0
57.3,710.081,-0.205117,9280.47,0,0
57.35,710.081,-0.202408,9280.47,0,0
57.4,710.082,-0.199735,9280.47,2,2
57.45,710.083,-0.197097,9280.46,1,1
57.5,710.084,-0.244164,9280.46,2,1
57.55,710.084,-0.240939,9280.46,1,1
57.6,710.085,-0.237758,9280.45,2,2
57.65,710.086,-0.234618,9280.45,1,1
57.7,710.087,-0.23152,9280.44,1,1
57.75,710.088,-0.228462,9280.44,0,0
57.8,710.088,-0.225445,9280.44,2,2
57.85,710.089,-0.222468,9280.43,1,1
57.9,710.09,-0.21953,9280.43,2,2
57.95,710.091,-0.216631,9280.43,1,1
58,710.091,-0.21377,9280.42,2,2
58.05,710.092,-0.210947,9280.42,2,2
58.1,710.093,-0.208162,9280.42,0,0
58.15,710.093,-0.205413,9280.41,0,0
58.2,710.094,-0.2027,9280.41,0,0
58.25,710.095,-0.200023,9280.41,1,1
58.3,710.095,-0.197382,9280.4,3,3
58.35,710.096,-0.194776,9280.4,0,0
58.4,710.097,-0.192203,9280.4,1,1
58.45,710.097,-0.189665,9280.39,2,2
58.5,710.098,-0.187161,9280.39,0,0
58.55,710.099,-0.184689,9280.39,0,0
58.6,710.099,-0.18225,9280.38,2,2
58.65,710.1,-0.179843,9280.38,2,2
58.7,710.1,-0.177468,9280.38,0,0
58.75,710.101,-0.175125,9280.37,2,2
58.8,710.102,-0.172812,9280.37,3,3
58.85,710.102,-0.17053,9280.37,0,0
58.9,710.103,-0.168278,9280.37,0,0
58.95,710.103,-0.166056,9280.36,1,1
59,710.104,-0.163863,9280.36,1,1
59.05,710.104,-0.161699,9280.36,1,1
59.1,710.105,-0.159564,9280.35,1,1
59.15,710.106,-0.157457,9280.35,0,0
59.2,710.106,-0.155378,9280.35,0,0
59.25,710.107,-0.153326,9280.35,0,0
59.3,710.107,-0.151301,9280.34,1,1
59.35,710.108,-0.149303,9280.34,1,1
59.4,710.108,-0.147331,9280.34,1,1
59.45,710.109,-0.145386,9280.34,3,3
59.5,710.109,-0.143466,9280.33,0,0
59.55,710.11,-0.141571,9280.33,4,4
59.6,710.11,-0.139702,9280.33,0,0
59.65,710.111,-0.137857,9280.33,1,1
59.7,710.111,-0.136036,9280.33,0,0
59.75,710.111,-0.13424,9280.32,0,0
59.8,710.112,-0.132467,9280.32,0,0
59.85,710.112,-0.130718,9280.32,0,0
59.9,710.113,-0.128992,9280.32,0,0
59.95,710.113,-0.127288,9280.31,2,2
60,710.114,-0.125608,9280.31,0,0
60.05,710.114,-0.123949,9280.31,1,1
60.1,710.114,-0.122312,9280.31,1,1
60.15,710.115,-0.120697,9280.31,0,0
60.2,710.115,-0.168772,9280.3,1,0
60.25,710.116,-0.265882,9280.3,3,1
60.3,710.117,-0.262371,9280.3,0,0
60.35,710.118,-0.308575,9280.29,2,1
60.4,710.119,-0.3045,9280.29,1,1
60.45,710.12,-0.300479,9280.28,1,1
60.5,710.121,-0.296511,9280.28,0,0
60.55,710.122,-0.292595,9280.27,0,0
60.6,710.123,-0.288732,9280.27,1,1
60.65,710.124,-0.284919,9280.26,1,1
60.7,710.125,-0.281156,9280.26,4,4
60.75,710.126,-0.277444,9280.25,0,0
60.8,710.127,-0.27378,9280.25,0,0
60.85,710.128,-0.270164,9280.24,1,1
60.9,710.129,-0.266597,9280.24,2,2
60.95,710.13,-0.263076,9280.23,1,1
61,710.13,-0.259602,9280.23,1,1
61.05,710.131,-0.256174,9280.22,1,1
61.1,710.132,-0.252791,9280.22,2,2
61.15,710.133,-0.249453,9280.22,0,0
61.2,710.134,-0.246159,9280.21,1,1
61.25,710.135,-0.242908,9280.21,1,1
61.3,710.135,-0.239701,9280.2,0,0
61.35,710.136,-0.236535,9280.2,1,1
61.4,710.137,-0.233412,9280.2,2,2
61.45,710.138,-0.230329,9280.19,0,0
61.5,710.139,-0.227288,9280.19,1,1
61.55,710.139,-0.273955,9280.18,1,0
61.6,710.14,-0.270338,9280.18,0,0
61.65,710.141,-0.266768,9280.18,1,1
61.7,710.142,-0.263245,9280.17,0,0
61.75,710.143,-0.259769,9280.17,0,0
61.8,710.144,-0.256339,9280.16,1,1
61.85,710.145,-0.252953,9280.16,1,1
61.9,710.146,-0.249613,9280.15,1,1
61.95,710.146,-0.246317,9280.15,0,0
62,710.147,-0.243064,9280.15,0,0
62.05,710.148,-0.289524,9280.14,2,1
62.1,710.149,-0.2857,9280.14,0,0
62.15,710.15,-0.281928,9280.13,0,0
62.2,710.151,-0.278205,9280.13,0,0
62.25,710.152,-0.274531,9280.12,1,1
62.3,710.153,-0.320575,9280.12,2,1
62.35,710.154,-0.316341,9280.11,0,0
62.4,710.155,-0.312164,9280.11,2,2
62.45,710.156,-0.308042,9280.1,0,0
62.5,710.157,-0.303974,9280.1,2,2
62.55,710.158,-0.29996,9280.09,0,0
62.6,710.159,-0.295999,9280.09,0,0
62.65,710.16,-0.29209,9280.08,2,2
62.7,710.161,-0.288233,9280.08,2,2
62.75,710.162,-0.284427,9280.07,1,1
62.8,710.163,-0.280671,9280.07,2,2
62.85,710.164,-0.276965,9280.06,1,1
62.9,710.165,-0.273307,9280.06,3,3
